"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test store","Provide a 405 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-01-09T23:33:14.914Z[Europe/London]","0.0","0.08"
"Tags test store","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-01-09T23:33:14.995Z[Europe/London]","0.0","0.03"
